Id,predicted
0,5.6490338
1,5.6725358
2,5.6607848
3,5.6725358
4,5.7477422
5,5.639633
6,5.6349326
7,5.733641
8,5.6560844
9,5.6795864
10,5.6419832
11,5.6654852
12,5.674886
13,5.6936876
14,5.6537342
15,5.6137808
16,5.6772362
17,5.6607848
18,5.6490338
19,5.392862
20,5.6560844
21,5.6607848
22,5.6537342
23,5.6419832
24,5.6725358
25,5.6654852
26,5.6490338
27,5.6654852
28,5.6325824
29,5.674886
30,5.651384
31,5.651384
32,5.651384
33,5.6701856
34,5.627882
35,5.6372828
36,5.6819366
37,5.4375158
38,5.6772362
39,5.6842868
40,5.6725358
41,5.7242402
42,5.6372828
43,5.6137808
44,5.6490338
45,5.6889872
46,5.651384
47,5.6372828
48,5.6842868
49,5.6537342
50,5.733641
51,5.6490338
52,5.6560844
53,5.6654852
54,5.616131
55,5.6466836
56,5.6960378
57,5.6936876
58,5.7242402
59,5.6184812
60,5.6678354
61,5.6701856
62,5.60438
63,5.651384
64,5.5503254
65,5.6137808
66,5.6795864
67,5.6443334
68,5.663135
69,5.6701856
70,5.5761776
71,5.3176556
72,5.5949792
73,5.6325824
74,5.698388
75,5.5996796
76,5.5644266
77,5.6137808
78,5.6466836
79,5.6537342
80,5.6419832
81,5.651384
82,5.651384
83,5.6443334
84,5.6443334
85,5.6654852
86,5.5996796
87,5.6231816
88,5.7007382
89,5.6842868
90,5.710139
91,5.6090804
92,5.663135
93,5.7289406
94,5.6560844
95,5.6607848
96,5.6372828
97,5.616131
98,5.6936876
99,5.6584346
100,5.6654852
101,5.639633
102,5.6325824
103,5.6067302
104,5.6584346
105,5.6725358
106,5.6419832
107,5.6372828
108,5.6208314
109,5.6419832
110,5.7171896
111,5.686637
112,5.6114306
113,5.6114306
114,5.6537342
115,5.7265904
116,5.580878
117,5.6795864
118,5.6090804
119,5.616131
120,5.6772362
121,5.6584346
122,5.663135
123,5.6419832
124,5.580878
125,5.639633
126,5.6490338
127,5.6819366
128,5.6654852
129,5.698388
130,5.5503254
131,5.7030884
132,5.5902788
133,5.651384
134,5.674886
135,5.6114306
136,5.4962708
137,5.6584346
138,5.6607848
139,5.5832282
140,5.6560844
141,5.6725358
142,5.6654852
143,5.6302322
144,5.6584346
145,5.6466836
146,5.6584346
147,5.6302322
148,5.686637
149,5.6090804
150,5.6842868
151,5.6678354
152,5.6255318
153,5.5949792
154,5.6725358
155,5.6701856
156,5.6654852
157,5.60438
158,5.6349326
159,5.439866
160,5.6537342
161,5.7054386
162,5.6936876
163,5.6067302
164,5.6537342
165,5.6208314
166,5.6560844
167,5.6819366
168,5.6936876
169,5.6654852
170,5.7406916
171,5.663135
172,5.6607848
173,5.7077888
174,5.651384
175,5.2118966
176,5.6960378
177,5.6701856
178,5.627882
179,5.6607848
180,5.6349326
181,5.6184812
182,5.616131
183,5.6419832
184,5.6654852
185,5.5879286
186,5.6795864
187,5.7007382
188,5.6490338
189,5.6020298
190,5.6725358
191,5.616131
192,5.6302322
193,5.6443334
194,5.6654852
195,5.686637
196,5.663135
197,5.6560844
198,5.651384
199,5.6607848
200,5.5503254
201,5.663135
202,5.6466836
203,5.6490338
204,5.6537342
205,5.6772362
206,5.6936876
207,5.6584346
208,5.6889872
209,5.6960378
210,5.6842868
211,5.6419832
212,5.6725358
213,5.5973294
214,5.7148394
215,5.6090804
216,5.6607848
217,5.6654852
218,5.6560844
219,5.6419832
220,5.6842868
221,5.6231816
222,5.686637
223,5.6443334
224,5.0379818
225,5.639633
226,5.6349326
227,5.651384
228,5.6654852
229,5.569127
230,5.3364572
231,5.6208314
232,5.6772362
233,5.2847528
234,5.674886
235,5.6584346
236,5.6725358
237,5.6349326
238,5.60438
239,5.6678354
240,5.698388
241,5.6560844
242,5.6419832
243,5.698388
244,5.6490338
245,5.6819366
246,4.8687674
247,4.9298726
248,5.6490338
249,5.6255318
250,5.6419832
251,5.6325824
252,5.663135
253,5.6443334
254,5.6678354
255,5.6466836
256,5.6466836
257,5.663135
258,5.6208314
259,5.6490338
260,5.6419832
261,5.7077888
262,5.7242402
263,5.6490338
264,5.7406916
265,5.651384
266,5.557376
267,5.6255318
268,5.6537342
269,5.6842868
270,5.6701856
271,5.6067302
272,4.9745264
273,5.6678354
274,5.6584346
275,5.6819366
276,5.6607848
277,5.6584346
278,5.616131
279,5.6936876
280,5.6302322
281,5.6584346
282,5.6466836
283,5.651384
284,5.6560844
285,5.651384
286,5.6537342
287,5.7030884
288,5.6654852
289,5.6255318
290,5.6584346
291,5.6325824
292,5.6772362
293,5.663135
294,5.72189
295,5.7007382
296,5.6255318
297,5.6678354
298,4.7489072
299,5.651384
300,5.6466836
301,5.6443334
302,5.6654852
303,5.2730018
304,5.6443334
305,5.6466836
306,5.6701856
307,5.6325824
308,5.6349326
309,5.498621
310,5.6725358
311,5.710139
312,5.6372828
313,5.6490338
314,5.6490338
315,5.6725358
316,5.7030884
317,5.674886
318,5.6466836
319,5.651384
320,5.6819366
321,5.6255318
322,5.616131
323,5.580878
324,5.6208314
325,5.6607848
326,5.674886
327,5.6584346
328,5.639633
329,5.72189
330,5.6325824
331,5.6255318
332,5.627882
333,5.674886
334,5.6584346
335,5.6607848
336,5.6372828
337,5.6842868
338,5.6560844
339,5.7289406
340,5.6772362
341,5.663135
342,5.698388
343,5.4657182
344,5.5597262
345,5.6255318
346,5.6654852
347,4.9721762
348,5.6725358
349,5.6701856
350,5.7124892
351,5.4492668
352,5.686637
353,5.639633
354,5.7359912
355,5.6725358
356,5.6842868
357,5.6419832
358,5.6701856
359,5.5996796
360,5.663135
361,5.6231816
362,5.6443334
363,5.6654852
364,5.6584346
365,5.674886
366,5.663135
367,5.7007382
368,5.6819366
369,5.6936876
370,5.6537342
371,5.7242402
372,5.6654852
373,5.6443334
374,5.6208314
375,5.733641
376,5.6607848
377,5.6678354
378,5.4821696
379,5.616131
380,5.6725358
381,5.6208314
382,5.6208314
383,5.710139
384,5.674886
385,5.6560844
386,5.6819366
387,5.663135
388,5.7124892
389,5.663135
390,5.5620764
391,5.6560844
392,5.710139
393,5.710139
394,5.6537342
395,5.7242402
396,5.6936876
397,5.6607848
398,5.6067302
399,5.6654852
400,5.6795864
401,5.6560844
402,5.6560844
403,5.6537342
404,5.6325824
405,5.686637
406,4.9980284
407,5.6560844
408,5.6725358
409,5.6913374
410,5.6325824
411,5.5973294
412,5.6490338
413,5.6678354
414,5.6678354
415,5.6349326
416,5.7030884
417,5.7124892
418,5.6678354
419,5.7406916
420,5.5973294
421,5.663135
422,5.5526756
423,5.6537342
424,5.6889872
425,5.698388
426,5.7477422
427,5.6725358
428,5.6913374
429,5.6466836
430,4.864067
431,5.6466836
432,5.6419832
433,5.6419832
434,5.651384
435,5.6607848
436,5.686637
437,5.6114306
438,5.357609
439,5.5761776
440,5.6913374
441,5.6654852
442,5.6349326
443,5.6419832
444,5.6936876
445,5.663135
446,5.7171896
447,5.6560844
448,5.4022628
449,5.580878
450,5.6960378
451,5.6701856
452,5.6960378
453,5.7030884
454,5.651384
