Id,predicted
0,5.714081911
1,5.532227478
2,5.595329626
3,5.798566205
4,5.097712643
5,6.132377482
6,5.25993422
7,5.992760509
8,6.185234428
9,5.817075427
10,5.841996045
11,6.157440884
12,5.943206906
13,6.04490147
14,5.892980838
15,5.325655641
16,6.056972456
17,5.5808861
18,5.584888746
19,5.072641104
20,5.520577144
21,5.618252381
22,5.788834393
23,5.522386247
24,5.738141303
25,5.889776759
26,4.336797869
27,5.530812581
28,5.77809857
29,5.603987851
30,5.478823779
31,6.312691306
32,5.567337165
33,5.436218952
34,5.057108529
35,5.824490834
36,6.563824544
37,5.220333725
38,5.295186691
39,6.364743159
40,6.286060848
41,5.989814769
42,5.705102297
43,5.429674536
44,5.975254907
45,5.885611799
46,5.348305214
47,5.433725389
48,6.372559688
49,5.456106468
50,4.90142445
51,5.510683018
52,5.14836729
53,5.343046746
54,5.731070055
55,5.463306666
56,5.374485333
57,5.770610347
58,5.6773588
59,5.767715663
60,5.3251042
61,5.533211567
62,5.45163965
63,4.866239718
64,5.29569969
65,5.429674536
66,5.206479465
67,5.540348715
68,6.161075772
69,5.995795357
70,5.048986902
71,5.04907518
72,6.455085179
73,5.36003489
74,5.575574738
75,5.105646127
76,5.780850081
77,5.478170844
78,5.564275479
79,5.471875393
80,5.519871315
81,5.992554675
82,5.791806581
83,6.084292062
84,5.896135261
85,6.255758899
86,5.662444184
87,6.078857837
88,6.188627659
89,6.023536006
90,6.037333514
91,5.771660335
92,5.296995794
93,6.183021354
94,5.581002046
95,6.107735123
96,4.889782042
97,6.064987512
98,6.054043398
99,5.545829308
100,5.537439578
101,5.629113914
102,5.170153407
103,5.383603663
104,5.571402861
105,5.173662584
106,5.340720576
107,5.718220423
108,5.19880349
109,4.989972211
110,6.277525485
111,5.836111481
112,5.565289255
113,5.352612567
114,5.256947189
115,6.171550017
116,7.28836611
117,6.289192111
118,5.746749482
119,5.545955019
120,5.996547555
121,5.133466509
122,6.021415279
123,5.569030322
124,7.327720489
125,5.852920629
126,5.473316738
127,5.70398418
128,5.343046746
129,5.333084882
130,5.550381556
131,6.090379221
132,5.485649302
