Id,SalePrice
0,109261.3588
1,222634.3594
2,133649.5705
3,168064.5101
4,195011.9875
5,203068.0948
6,216931.5681
7,61788.24345
8,173869.5412
9,86850.06746
10,150873.183
11,99824.32607
12,85507.67984
13,200909.6294
14,89245.15519
15,137293.9554
16,115754.2299
17,217189.142
18,115072.0679
19,147322.6308
20,65705.26602
21,107875.5935
22,94683.19652
23,223725.613
24,145806.443
25,194800.0793
26,201383.312
27,105577.4832
28,141628.9493
29,115347.7205
30,21279.09891
31,213144.8796
32,92525.0768
33,305792.3745
34,117799.9921
35,195629.7367
36,130402.8861
37,238432.8904
38,129639.5674
39,6647.493698
40,105635.2902
41,240510.5118
42,213506.5947
43,255470.7775
44,108819.4212
45,248000.4749
46,91710.54175
47,226131.7995
48,316043.9664
49,225380.2997
50,119581.2732
51,198312.3082
52,114831.516
53,274788.6207
54,131463.1712
55,223838.5147
56,179788.0463
57,184998.2346
58,102848.0697
59,107077.1742
60,211697.5862
61,283562.3837
62,163486.9667
63,148094.921
64,149075.0189
65,198973.0495
66,115912.6311
67,176754.1198
68,116630.8537
69,332513.7694
70,71268.56027
71,127978.1798
72,147411.0016
73,123223.9043
74,74408.1877
75,52124.64642
76,129066.7617
77,133269.1628
78,279400.2791
79,211210.9999
80,191433.4974
81,-4027.960225
82,269565.1046
83,179281.4668
84,141567.2134
85,104933.0443
86,259501.0112
87,86591.49354
88,223877.5069
89,169114.8369
90,365346.3247
91,142172.3944
92,47268.03755
93,304124.604
94,110667.5713
95,345999.9226
96,187851.4794
97,100316.678
98,355261.4631
99,189126.4838
100,198196.0607
101,141288.0306
102,103086.6906
103,178166.6154
104,233213.8483
105,234169.8549
106,237321.9817
107,192843.8079
108,105177.3475
109,154245.4052
110,297974.7397
111,97583.32185
112,335806.2261
113,200161.4223
114,159321.8285
115,132134.0477
116,166677.8883
117,104916.558
118,241031.1806
119,143731.4647
120,85939.79551
121,135218.8122
122,106102.751
123,233565.5561
124,105761.7051
125,378541.6053
126,96912.92182
127,96696.91216
128,193030.7987
129,211724.9692
130,222530.0531
131,226006.9871
132,162576.5303
133,214663.3119
134,134206.4159
135,92647.05155
136,85277.96508
137,280171.0599
138,258594.6723
139,148129.2628
140,130043.433
141,188951.3751
142,118697.7174
143,112109.9394
144,305999.3731
145,161184.1274
146,145370.896
147,131977.9143
148,380066.3872
149,185698.0886
150,138679.5708
151,144723.067
152,188539.3082
153,254828.6001
154,142859.8555
155,288307.6811
156,211018.4805
157,143683.6738
158,186116.6246
159,102063.0179
160,263984.5435
161,129033.1563
162,48731.80273
163,286665.1969
164,117563.8393
165,63831.81424
166,177854.7957
167,187823.8803
168,217496.294
169,88948.67194
170,250356.9974
171,273775.7075
172,101488.9376
173,107593.4901
174,304332.3075
175,116386.8301
176,169488.0469
177,96489.30149
178,109020.4483
179,134321.2887
180,128896.8489
181,153711.6257
182,309424.4962
183,177319.6046
184,233582.6851
185,235969.4864
186,143542.1123
187,134018.3057
188,69599.08424
189,147104.6555
190,286618.2565
191,228417.0262
192,175782.9712
193,346866.903
194,129828.2771
195,205455.7546
196,197752.138
197,275009.4213
198,141441.1179
199,216630.786
200,189759.1692
201,214631.033
202,130029.4354
203,111491.4048
204,178315.6426
205,293716.9991
206,202893.0756
207,109565.4476
208,197158.091
209,228093.7032
210,143831.6236
211,210975.2243
212,201906.8496
213,210935.1823
214,119606.2584
215,297489.6826
216,64229.22784
217,135849.1882
218,140438.5019
219,225492.1593
220,226442.5905
221,98092.53013
222,242962.809
223,119524.9809
224,112650.5235
225,250853.9418
226,126862.5912
227,125868.1171
228,148320.9958
229,190087.6031
230,180099.4116
231,207083.8769
232,222560.1738
233,171246.2632
234,203265.3955
235,124816.0143
236,225965.9751
237,318927.101
238,110635.7197
239,356823.4114
240,196878.441
241,241949.7279
242,145474.412
243,62874.94676
244,134122.8076
245,320024.1073
246,151194.6916
247,162102.3485
248,170677.678
249,255871.5239
250,109631.1153
251,133356.3871
252,405324.7516
253,277208.3979
254,326285.7409
255,105437.3542
256,167924.974
257,313536.5389
258,159312.3937
259,106721.6586
260,102238.8279
261,156555.8705
262,184218.8904
263,178813.9663
264,121787.9995
265,277099.4729
266,290063.4
267,345379.664
268,175050.4167
269,166305.8235
270,110606.1359
271,126746.187
272,247005.8625
273,220477.6559
274,50207.36667
275,106245.1725
276,101426.8989
277,276237.2726
278,97698.15157
279,188661.9641
280,188381.2727
281,201565.9536
282,140598.609
283,115860.7174
284,52441.85753
285,181858.8078
286,180279.9645
287,141357.6494
288,159653.3295
289,81611.04775
290,97973.34436
291,145927.8872
292,124386.7537
293,158709.9388
294,128596.242
295,260447.932
296,93419.15666
297,112818.4097
298,138015.3019
299,221662.2911
300,97953.99519
301,194609.1605
302,170260.9858
303,151856.8919
304,233420.1036
305,294794.4437
306,306012.3384
307,119828.016
308,186642.4663
309,117447.3492
310,153174.8675
311,223976.3332
312,200763.5243
313,78883.15285
314,129641.8153
315,141528.0906
316,136290.2706
317,200741.9225
318,73039.60966
319,183176.3691
320,130640.6811
321,150447.1392
322,169183.1935
323,66364.67484
324,153687.6038
325,233010.7319
326,110668.7978
327,257439.1048
328,151734.8225
329,200961.775
330,89211.35639
331,269604.293
332,97878.1591
333,40485.73557
334,121036.4149
335,123264.2539
336,204089.9411
337,28835.20674
338,134222.1977
339,124925.9511
340,148617.9531
341,171138.7748
342,151225.8509
343,241683.6859
344,176593.0138
345,178897.3116
346,158321.2406
347,107795.2238
348,100862.5257
349,180554.9958
350,312873.9012
351,139892.5499
352,393672.6765
353,87515.15866
354,309736.3137
355,145927.8872
356,107760.1211
357,136587.2758
358,257509.5419
359,68812.46839
360,293526.9579
361,133665.0021
362,98529.18396
363,230928.7838
364,251588.2293
365,94125.47618
366,211373.3416
367,97307.81103
368,105416.8758
369,221917.9653
370,362856.8755
371,117988.3257
372,140006.8009
373,130507.0383
374,135481.227
375,130014.5836
376,201608.6743
377,146167.3705
378,13833.17493
379,372644.4041
380,142493.7271
381,116043.9749
382,145471.2297
383,97238.91895
384,131123.457
385,136126.8953
386,122310.4509
387,408509.3471
388,239777.8963
389,49076.66998
390,153041.1038
391,114021.1959
392,275977.9714
393,192556.3257
394,80375.29745
